港·澳·台,#genre#
SkysportsMix,p2p://860825993:18912/5b2e22ad000c83552b1f701134782a1d.ts
IndiaNews,p2p://860825993:18912/5b140a890009bd5f17d6c4f567807bc6.ts
IndiaTV,p2p://860825993:18912/5b140a890004b9ea17d6c3ad76bc421d.ts
ZNEWS,p2p://860825993:18912/5b140a880009bb5717d6c10d55fc4fc1.ts
zoom,p2p://860825993:18912/5b140a860001636017d6b71a7ed41c74.ts
SONYSIX,p2p://860825993:18912/5b140a85000b29c817d6b5b304247c00.ts
STARSPORTS1,p2p://860825993:18912/5b140a84000533c717d6b0444e2a6dcd.ts
mediacorp,p2p://860825993:18912/5b20e3af00036b8c4a06ffcf2b9c28ee.ts
MEZZOLIVE,p2p://860825993:18912/5b14090b0006deff17d0f00a54266306.ts
Sanskar,p2p://860825993:18912/5b140a89000f379f17d6c65d66746e51.ts
NDTV24x7,p2p://860825993:18912/5b140a8700088a7c17d6bcd74661512f.ts
NDTVINDIA,p2p://860825993:18912/5b140a87000dc92517d6be2f7ee45257.ts
News18,p2p://860825993:18912/5b140a88000efa2e17d6c2654a1d3a44.ts
TEN1,p2p://860825993:18912/5b140a84000aafa217d6b1ac4c80417b.ts
央视频道,#genre#
CCTV-1 综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-2 财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV-3 综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4 中文国际,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-5 体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5+ 体育赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-6 电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-7 国防军事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8 电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9 纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10 科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11 戏曲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-12 社会与法,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13 新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV-14 少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15 音乐,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV-16 奥林匹克,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17 农业农村,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
卫视频道,#genre#
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
兵团卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
卡酷少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225654/index.m3u8
BTV纪实,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225729/index.m3u8
CETV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
CETV-2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
CETV-3,http://ott.mobaibox.com/PLTV/3/224/3221227018/index.m3u8
CETV-4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225619/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
山东教育电视台,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225655/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
厦门卫视,http://ott.mobaibox.com/PLTV/3/224/3221226996/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8
延边卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226516/index.m3u8
云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8



💞电影频道_8642,#genre#
aiai,https://c1.rrcdnbf3.com/video/jiemi2024/TC/index.m3u8
🥤102,https://ch.hello3dmax.com/RH1625VLU/index.m3u8
🥤103,https://ch.hello3dmax.com/RH2316SEJ/index.m3u8
🥤104,https://ch.hello3dmax.com/RH144CRQ/index.m3u8
星空传媒XK8154为了药就让你操一次,https://t21.cdn2020.com/video/m3u8/2023/02/08/1c862a22/index.m3u8
星空传媒XK8156碰撞出的火花,https://t21.cdn2020.com/video/m3u8/2023/02/28/101027d4/index.m3u8
星空传媒XK8160友情万岁,https://t21.cdn2020.com/video/m3u8/2023/04/02/57c9dba5/index.m3u8
🅱️狼吻十四日,https://v6.jindangao.com/hj/hj1/hj8/5/hls/index.m3u8
🅱️迷情司机,https://v6.jindangao.com/hj/hj1/hj9/19/hls/index.m3u8
🅱️色魔玩处女,https://v6.jindangao.com/hj/hj2/hj22/33/hls/index.m3u8
🔞麻豆映画5,#genre#
0,https://d862cp.cdnedge.live/file/avple-images/hls/61a0e6ca3006a4603929a38d/playlist.m3u8
1,https://d862cp.cdnedge.live/file/avple-images/hls/61a0e77d3006a4603929a38f/playlist.m3u8
2,https://d862cp.cdnedge.live/file/avple-images/hls/61a0e8e53006a4603929a392/playlist.m3u8
3,https://d862cp.cdnedge.live/file/avple-images/hls/61a0e9213006a4603929a393/playlist.m3u8
4,https://d862cp.cdnedge.live/file/avple-images/hls/61a28828fe8a567bb90ec280/playlist.m3u8
5,https://d862cp.cdnedge.live/file/avple-images/hls/61a52595a992bd3d5c3eb61b/playlist.m3u8
💫会员频道_8642,#genre#
ZIJIAN,https://fc.maa1804.com/g/gxefjnwrpd/gxefjnwrpd.m3u8
ZIJI2,https://cdn-bgocihpmovcae3c6b49a0959a83az1b8.streamfastpro.com/c65bdf33e2956ba5850d775cd35daece/1/2/umo-XZKHPHsgKyfU_7rDcg/umo-XZKHPHsgKyfU_7rDcg.m3u8
松视1台,https://18.svi-studio.com/live/908957700097/132663288386/5.m3u8
松视2台,http://18.svi-studio.com:8880/live/091271435055/841916267544/6.m3u8
香蕉台,https://18.svi-studio.com/live/565361330108/206277615704/4.m3u8
潘多拉台,https://18.svi-studio.com/live/673960949860/294164781253/3.m3u8
惊艳台,https://18.svi-studio.com/live/673960949860/294164781253/1.m3u8
限制级电影,http://cdn.adultiptv.net/blonde.m3u8?streamType=liv
俄罗斯成人5台,http://live.redtraffic.xyz/bigdick.m3u8?fluxuslust.m3u8
俄罗斯成人4台,http://live.redtraffic.xyz/blowjob.m3u8?fluxuslust.m3u8
俄罗斯成人3台,http://live.redtraffic.xyz/fetish.m3u8?fluxuslust.m3u8
俄罗斯成人2台,http://live.redtraffic.xyz/latina.m3u8?fluxuslust.m3u8
俄罗斯成人1台,http://live.redtraffic.xyz/pov.m3u8?fluxuslust.m3u8
一本道欧美版,http://live.redtraffic.xyz:80/bigass.m3u8
二本道欧美版,http://live.redtraffic.xyz:80/blowjob.m3u8
k频道欧美版,http://live.redtraffic.xyz:80/threesome.m3u8
香蕉台欧美版,http://live.redtraffic.xyz:80/milf.m3u8
松视3欧美版,http://live.redtraffic.xyz:80/bigdick.m3u8
松视2欧美版,http://live.redtraffic.xyz:80/bigtits.m3u8
松视1欧美版,http://live.redtraffic.xyz:80/interracial.m3u8
K频道欧美版,http://live.redtraffic.xyz:80/threesome.m3u8
松视1欧美版,http://live.redtraffic.xyz:80/fetish.m3u8
松视3欧美版,http://live.redtraffic.xyz:80/bigdick.m3u8
松视2欧美版,http://live.redtraffic.xyz:80/bigtits.m3u8
香蕉台欧美版,http://live.redtraffic.xyz:80/milf.m3u8
潘多拉欧美版,http://live.redtraffic.xyz:80/pornstar.m3u8
粉红台欧美版,http://live.redtraffic.xyz:80/teen.m3u8
玩美台欧美版,http://live.redtraffic.xyz:80/pov.m3u8
二本道欧美版,http://live.redtraffic.xyz:80/blowjob.m3u8
Adult IPTV (18+),http://cdn.adultiptv.net/bigass.m3u8
一本道欧美版,http://live.redtraffic.xyz:80/bigass.m3u8
惊艳台欧美版,http://live.redtraffic.xyz:80/cuckold.m3u8
俄罗斯成人4台,http://live.redtraffic.xyz/blowjob.m3u8?fluxuslust.m3u8
俄罗斯成人5台,http://live.redtraffic.xyz/bigdick.m3u8?fluxuslust.m3u8

💫六脉神剑_8642,#genre#
04年极品白丝嫩足,https://t21.cdn2020.com/video/m3u8/2023/02/01/18ac5bce/index.m3u8
18岁小嫩妹辍学做外围-田伯光,https://t21.cdn2020.com/video/m3u8/2023/04/13/d7cb73d8/index.m3u8
18岁学妹背着男友偷情-唐伯虎,https://t21.cdn2020.com/video/m3u8/2023/03/07/7a58b113/index.m3u8
19岁美穴新人女体私密大保健初体验,https://t21.cdn2020.com/video/m3u8/2023/04/21/8412f611/index.m3u8
19岁女大生的AV初体验,https://t21.cdn2020.com/video/m3u8/2023/03/20/f88b8a90/index.m3u8
3000约操18岁大一新生-八戒,https://t21.cdn2020.com/video/m3u8/2023/03/22/8b0e62d5/index.m3u8
3P大战极品姐妹花-91渣男,https://t21.cdn2020.com/video/m3u8/2023/02/11/5baaa4c3/index.m3u8
3P实战系列我的巨乳女特助,https://t21.cdn2020.com/video/m3u8/2023/04/13/4bc61f2e/index.m3u8
3千网约巨乳反差外围-杏吧老王,https://t21.cdn2020.com/video/m3u8/2023/04/24/68a8eb38/index.m3u8
「射区独家-推车哥探花」温婉可人口技一流 气质美人极致服务,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/je/z7/ft/ou/4d5dd95c4f55404ab77f081b4f1d9615.m3u8?
「射区独家-小文探花」懵懂少女绝顶失神 玉腿横陈少经床事,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/ov/ph/4g/76/6adb951aded14269b9c0c82d3955251d.m3u8?
「射区独家- 老司机探花」胸大腰细眉眼如丝 母狗网红发情求欢,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/45/j2/e6/mp/fe17bcf982824ca9b151759f88e8320f.m3u8?
「射区独家-老司机探花」开档内裤骚气四溢 饥渴少妇摇尾乞怜,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/92/x3/zv/xk/819b2bef59db48f88d418f2d6cf1f267.m3u8?
「射区独家-小文探花」舔奶玩逼金枪不倒短发少女娇喘求饶,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/qd/2n/zm/q4/88988149c1b047fd8f15752920374bd2.m3u8?
「射区独家-小文探花」巨乳尤物波涛汹涌 微醺探花越战越勇,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/yw/5y/ov/aw/5b968c1bdd7049fba2b810fee4b4fcbc.m3u8?
「射区独家-老司机探花」翘臀美腿爱不释手 黑丝网红娇声难耐,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/g7/ja/19/uh/bfa6ada6684f4b44a7366f1ed14498d9.m3u8?
「射区独家-小文探花」麻豆腥春历险记 红粉少女上工挨操,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/rq/uz/1v/1o/b1708195840a4c63a37fc8867110bfdc.m3u8?
「射区独家-老司机探花」肉感肥臀妙不可言 丰韵网红骚气四溢,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/qp/u5/6h/1c/42a37ff2f7344e70b4d3e3c3dbf3fe8d.m3u8?
「射区独家-老司机探花」射区探花淫新春 蕾丝欲兔开工迎春,https://ypmnkbb.saejeuj.com/api/app/media/m3u8/zh/98/yf/z1/55/67015a5b1ee64694bfdb5668f2a78299.m3u8?
「射区独家-老司机探花」射区探花淫新春 旗袍洋马胯下娇嗔,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/wd/gc/po/od/7b9b1fb3acb44fc0898b1adcac8efb43.m3u8?
「射区独家-小文探花」花言巧浯无套插入 肉感少女惨遭内射,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/r5/ko/rq/27/c6bc23738f6e42809b0a5ae81ffd4e5a.m3u8?
「射区独家-老司机探花」高冷兼职娇俏面容 辣手摧花毫不留情,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/fp/cs/kg/in/9024167783e041389c8b00e572088d43.m3u8?
「射区独家-山鸡探花」细狗女孩娇声不停 失恋之夜饥渴求欢,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/kd/y1/jz/8s/b93cbc507f8d43d6b39f487cbd7a4439.m3u8?
「射区独家-山鸡探花」麻豆山鸡雄风大振 娇乳少妇丢盔泄甲,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/64/00/bq/xs/a793c7ac2247462dbfff5d92fe9258ff.m3u8?
「射区独家-老司机探花」射区圣涎礼炮响 同胞姐妹淫乱狂炊,https://ypmnkbb.saejeuj.com/api/app/media/m3u8/zh/55/x7/80/ac/2a11588844fe4402b1c7bf7697b892c4.m3u8?
「射区独家-小文探花」甜美笑容惹人怜爱 巨乳嫩妹水流成河,https://ypmnkbb.saejeuj.com/api/app/media/m3u8/zh/fk/4p/yl/y0/729b10923f214f1582fb6213ac965ad2.m3u8?
「射区独家-小文探花」跨年礼炮淫新年 娇俏少妇秀色可餐,https://ypmnkbb.saejeuj.com/api/app/media/m3u8/zh/fx/hh/xl/47/f67860994f5347fa9bc2b3f58b2d1e44.m3u8?
「射区独家-老司机探花」老司机爆草阿根廷 足球宝贝活力思春,https://ypmnkbb.saejeuj.com/api/app/media/m3u8/zh/zp/2z/fg/tb/0db897893c394885bdb07e456286905b.m3u8?
「射区独家探花-老司机探花」射区圣诞礼炮响 骚女淫声平安液,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/x9/kg/0w/ai/018d047b423a4b50bfb80764fdd9eab6.m3u8?
「射区独家-老司机探花」全新视角体验升级 黑丝OL乳隐乳现,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/qd/nx/um/wk/9ab01879df7b4524b4b64fae9f2e6704.m3u8?
「射区独家-老司机探花」老司机老牛新春 花季少女欲拒还迎,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/w7/ma/wv/pq/423c13da495c416c96b38a1ed0bb91b6.m3u8?
「射区独家-大鸟探花」麻豆大鸟火速归队御姐技师极致服,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/jp/a5/r6/2m/e2a1ce9c1c73491b9f670d383b26e7fa.m3u8?
「射区独家-老司机探花」老司机金枪不倒 肉感美妇饥渴乘骑,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/05/lb/ey/xq/563973dc980647ce8f62c4fe80cae4c0.m3u8?
「射区独家-老司机探花」老司机飞行体验 高冷空乘黑丝求爱,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/hz/q0/p4/xh/9c400befeed34d6ab4bdb47111f6986b.m3u8?
「射区独家-小文探花」小文爱恋初体验软萌少女羞色回应,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/4u/i1/0k/r5/be13b323bef141a7b188f70d20f91f99.m3u8?
「射区独家-老司机探花」 无套内射解禁 淫荡尤物口技封神,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/k3/gj/33/mk/56495ca3a195450a86936ad1bb13d879.m3u8?
「射区独家-老司机探花」丰臀骚货吹拉弹唱 老司机欲罢不能,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/k3/gj/33/mk/56495ca3a195450a86936ad1bb13d879.m3u8?
「射区独家-小文探花」黑丝浪女骚淫服务 深入浅出娇声不停,https://ypmnkbb.saejeuj.com/api/app/media/m3u8/zh/t7/9l/gp/1l/8c767cf9fc834a52a80694848e0e01ef.m3u8?
「射区独家-老司机」梅开二度 骚浪美人黑丝诱惑,https://ypmnkbb.saejeuj.com/api/app/media/m3u8/zh/2b/1m/d5/3b/52fcdeb74e6d4a81a1233fa81edba00a.m3u8?
「射区独家-小文探花」淫荡少女贴身肉勃湿声浪叫不绝子耳,https://ypmnkbb.saejeuj.com/api/app/media/m3u8/zh/g1/jz/4l/tb/fd78317e705342f19c14be7a94c40da3.m3u8?
「射区独家-老司机探花」性感御姐掰穴插逼 私密部位一览无遗,https://ypmnkbb.saejeuj.com/api/app/media/m3u8/zh/e8/uy/pp/0d/597e20a7cd1b4f4b9141d90af3df1471.m3u8?
「射区独家-银先生探花」美乳少妇极致后入口交 多体位高清偷拍,https://ypmnkbb.saejeuj.com/api/app/media/m3u8/zh/t7/9l/gp/1l/8c767cf9fc834a52a80694848e0e01ef.m3u8?

💫 古装_8642,#genre#
青楼名女支之李香君,https://v6.jindangao.com/hj/hj2/hj21/10/hls/index.m3u8
人细鬼大,https://v6.jindangao.com/hj/hj2/hj22/10/hls/index.m3u8
兽生秀惑之赤果生游戏2000,https://v6.jindangao.com/hj/hj2/hj23/25/hls/index.m3u8
屠夫,https://v6.jindangao.com/hj/hj2/hj24/38/hls/index.m3u8
贴身保镖,https://v6.jindangao.com/hj/hj2/hj24/31/hls/index.m3u8
舒淇早期激青合集,https://v6.jindangao.com/hj/hj2/hj25/36/hls/index.m3u8
杨贵妃,https://v6.jindangao.com/hj/hj2/hj27/37/hls/index.m3u8
燕鬼冤魂,https://v6.jindangao.com/hj/hj2/hj27/34/hls/index.m3u8
夜半思孚時,https://v6.jindangao.com/hj/hj2/hj28/1/hls/index.m3u8
越轨之狼完整版,https://v6.jindangao.com/hj/hj2/hj29/12/hls/index.m3u8
荡女赢春,https://v5.jindangao.com/ak1/ak2/ak29/24/hls/index.m3u8
外文初夜青,https://v6.jindangao.com/hj/hj1/hj3/22/hls/index.m3u8
换七换上瘾,https://v5.jindangao.com/ff/f1/38/hls/index.m3u8
西游记之八戒招亲,https://v5.jindangao.com/jj/j10/22/hls/index.m3u8
西游记之生咸白骨金,https://v5.jindangao.com/jj/j10/21/hls/index.m3u8
西游记之盘丝洞,https://v5.jindangao.com/jj/j10/19/hls/index.m3u8
西游记之反转死亡宝塔,https://v5.jindangao.com/jj/j10/17/hls/index.m3u8
西游记之铁扇公主,https://v5.jindangao.com/jj/j10/18/hls/index.m3u8
西游记之青迷女儿国,https://v5.jindangao.com/jj/j10/20/hls/index.m3u8
新金瓶梅一,https://v6.jindangao.com/bb/b13/25/500kb/hls/index.m3u8
新金瓶梅二,https://v6.jindangao.com/bb/b13/26/500kb/hls/index.m3u8
新金瓶梅三,https://v6.jindangao.com/bb/b13/27/500kb/hls/index.m3u8
新金瓶梅四,https://v6.jindangao.com/bb/b13/28/500kb/hls/index.m3u8
新金瓶梅五,https://v6.jindangao.com/bb/b13/29/500kb/hls/index.m3u8
艇妹,https://v6.jindangao.com/dd/d1/34/500kb/hls/index.m3u8
我为卿狂,https://v5.jindangao.com/fff/ff7/21/hls/index.m3u8
水浒传之英雄好摄,https://v5.jindangao.com/gg/g9/23/hls/index.m3u8
玉火狂蜜,https://v6.jindangao.com/hj/hj2/hj28/44/hls/index.m3u8
新金瓶梅,2008https://v5.jindangao.com/zz/z8/10/hls/index.m3u8
玉蒲团II之玉女心经,https://v5.jindangao.com/yy/y10/18/hls/index.m3u8
竹夫人,https://v5.jindangao.com/eee/ee2/20/hls/index.m3u8
激青燕女,https://v6.jindangao.com/v20/13/600kb/hls/index.m3u8
满清十大酷刑,https://v5.jindangao.com/jj/j1/46/hls/index.m3u8
剑奴,https://v5.jindangao.com/ff/f4/4/hls/index.m3u8
婚前试爱,https://v5.jindangao.com/ff/f2/7/hls/index.m3u8
爱的金灵,https://v5.jindangao.com/pp/p11/8/hls/index.m3u8
卿本佳人,https://v5.jindangao.com/yy/y2/48/hls/index.m3u8
蜜桃成熟时33D,https://v5.jindangao.com/jj/j4/11/hls/index.m3u8
我来自北京,https://v5.jindangao.com/fff/ff7/8/hls/index.m3u8
内蒲团之夜销魂,https://v6.jindangao.com/aa/a30/28/500kb/hls/index.m3u8
梁祝燕谭1集,https://v6.jindangao.com/dd/d16/2/1/700kb/hls/index.m3u8
梁祝燕谭2集,https://v6.jindangao.com/dd/d16/2/2/700kb/hls/index.m3u8
梁祝燕谭3集,https://v6.jindangao.com/dd/d16/2/3/700kb/hls/index.m3u8
梁祝燕谭4集,https://v6.jindangao.com/dd/d16/2/4/700kb/hls/index.m3u8
梁祝燕谭5集,https://v6.jindangao.com/dd/d16/2/4/700kb/hls/index.m3u8
梁祝燕谭6集,https://v6.jindangao.com/dd/d16/2/6/700kb/hls/index.m3u8
梁祝燕谭7集,https://v6.jindangao.com/dd/d16/2/7/700kb/hls/index.m3u8
梁祝燕谭8集,https://v6.jindangao.com/dd/d16/2/8/700kb/hls/index.m3u8
梁祝燕谭9集,https://v6.jindangao.com/dd/d16/2/9/700kb/hls/index.m3u8
梁祝燕谭10集,https://v6.jindangao.com/dd/d16/2/10/700kb/hls/index.m3u8
梁祝燕谭11集,https://v6.jindangao.com/dd/d16/2/11/700kb/hls/index.m3u8
梁祝燕谭12集,https://v6.jindangao.com/dd/d16/2/12/700kb/hls/index.m3u8
梁祝燕谭13集,https://v6.jindangao.com/dd/d16/2/13/700kb/hls/index.m3u8
梁祝燕谭14集,https://v6.jindangao.com/dd/d16/2/14/700kb/hls/index.m3u8
梁祝燕谭15集,https://v6.jindangao.com/dd/d16/2/15/700kb/hls/index.m3u8
梁祝燕谭16集,https://v6.jindangao.com/dd/d16/2/16/700kb/hls/index.m3u8
梁祝燕谭17集,https://v6.jindangao.com/dd/d16/2/17/700kb/hls/index.m3u8
梁祝燕谭18集,https://v6.jindangao.com/dd/d16/2/18/700kb/hls/index.m3u8
梁祝燕谭19集,https://v6.jindangao.com/dd/d16/2/19/700kb/hls/index.m3u8
梁祝燕谭20集,https://v6.jindangao.com/dd/d16/2/20/700kb/hls/index.m3u8
银家大院第一集之比武招金,https://player.hgcdn666.com/20230308/L1rUkKQP/index.m3u8
银家大院第二集之夫人的吸哈教室,https://player.hgcdn666.com/20230308/7AaX784e/index.m3u8
银家大院第三集之你是谁啊,https://player.hgcdn666.com/20230308/PCYK7V0o/index.m3u8
银家大院第四集之生福来的太突然,https://player.hgcdn666.com/20230308/DxWS5Qjh/index.m3u8
银家大院第五集之爸爸再爱我一次,https://player.hgcdn666.com/20230308/j5qVItY6/index.m3u8
新应召女郎,https://163.grr4d46c.com/changpian/m3u8/jingdiansanji/202301/%E6%96%B0%E5%BA%94%E5%8F%AC%E5%A5%B3%E9%83%8E%E4%B8%AD%E6%96%87%E5%AD%97%E5%B9%95%EF%BC%88%E5%9B%BD%E4%BA%A7%EF%BC%89/%E6%96%B0%E5%BA%94%E5%8F%AC%E5%A5%B3%E9%83%8E%E4%B8%AD%E6%96%87%E5%AD%97%E5%B9%95%EF%BC%88%E5%9B%BD%E4%BA%A7%EF%BC%89.m3u8
金瓶双燕,https://v5.jindangao.com/zz/z8/12/hls/index.m3u8
勾魂降头,https://v5.jindangao.com/ll/l7/13/hls/index.m3u8
风流才子俏佳人,https://v5.jindangao.com/pp/p11/11/hls/index.m3u8
1992新美丽宝鉴,https://v5.jindangao.com/ee/e1/48/hls/index.m3u8
竹本玉蒲团,https://v5.jindangao.com/fff/ff0/38/hls/index.m3u8
96金瓶梅续集杨思雯版1,https://v5.jindangao.com/xx/x1/14/1000kb/hls/index.m3u8
96金瓶梅续集杨思雯版2,https://v5.jindangao.com/xx/x1/15/1000kb/hls/index.m3u8
96金瓶梅续集杨思雯版3,https://v5.jindangao.com/xx/x1/16/1000kb/hls/index.m3u8
96金瓶梅续集杨思雯版4,https://v5.jindangao.com/xx/x1/17/1000kb/hls/index.m3u8
96金瓶梅续集杨思雯版5,https://v5.jindangao.com/xx/x1/18/1000kb/hls/index.m3u8
金瓶风月,https://v5.jindangao.com/ee/e1/6/hls/index.m3u8
风月宝鉴之家花自有香,https://v5.jindangao.com/ll/l5/30/hls/index.m3u8
半妖孚娘,https://v5.jindangao.com/zz/z3/2/hls/index.m3u8
八仙饭店之人内叉烧包,https://v5.jindangao.com/zz/z2/37/hls/index.m3u8
人皮高跟鞋,https://v5.jindangao.com/pp/p11/28/hls/index.m3u8
聊斋志异之孽玉孤鬼,https://v5.jindangao.com/ff/f8/28/hls/index.m3u8
生气功之探秘,https://v5.jindangao.com/hh/h2/17/hls/index.m3u8
青楼十二户国粤双语,https://v5.jindangao.com/nn/n9/51/hls/index.m3u8
与蛇共舞,https://v5.jindangao.com/hh/h6/27/hls/index.m3u8
聊斋燕谭1之燕魔大战,https://v5.jindangao.com/zz/z9/49/hls/index.m3u8
齐天大生之大闹女儿国,https://v5.jindangao.com/gg/g1/13/hls/index.m3u8
齐天大生之大破盘丝洞,https://v5.jindangao.com/gg/g1/14/hls/index.m3u8
燕妇转世1,https://v5.jindangao.com/fff/ff9/23/hls/index.m3u8
